property_id,property_url,address,street_name,city,state,postcode,latitude,longitude,price,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,land_space_unit,land_space_sqft,property_type,property_status,RunDate,agency_name,is_owned_by_zillow
67650097,https://www.zillow.com/homedetails/801-Dr-Martin-Luther-King-Jr-Blvd-Waxahachie-TX-75165/67650097_zpid/,"801 Dr Martin Luther King Jr Blvd, Waxahachie, TX 75165",Dr Martin Luther King Jr Blvd,Waxahachie,TX,75165,32.381935,-96.838234,159000.0,2.0,1.0,158.68263473053892,1002.0,5880.6,sqft,5880.6,Single_Family,FOR_SALE,2022-04-24,Unknown,0
2064213821,https://www.zillow.com/homedetails/LOT-8-County-Road-346-Fulton-MO-65251/2064213821_zpid/,"LOT 8 County Road 346, Fulton, MO 65251",LOT 8 County Road 346,Fulton,MO,65251,38.856133,-92.14699,99900.0,0.0,0.0,0.5272157309774865,0.0,4.35,acres,189485.99999999997,Lot,FOR_SALE,2022-04-24,"Weichert, Realtors - First Tier",0
2088752884,https://www.zillow.com/homedetails/3020-Pine-Island-Levee-Rd-Beaumont-TX-77713/2088752884_zpid/,"3020 Pine Island Levee Rd, Beaumont, TX 77713",Pine Island Levee Rd,Beaumont,TX,77713,30.04571,-94.26956,69500.0,0.0,0.0,1.2562995741234824,0.0,1.27,acres,55321.200000000004,Lot,FOR_SALE,2022-04-24,RE/MAX ONE -- 9000010,0
61895511,https://www.zillow.com/homedetails/499-Mystic-Pkwy-Spring-Branch-TX-78070/61895511_zpid/,"499 Mystic Pkwy, Spring Branch, TX 78070",Mystic Pkwy,Spring Branch,TX,78070,29.933315,-98.32139,899900.0,3.0,4.0,235.6993190151912,3818.0,2.4,acres,104544.0,Single_Family,FOR_SALE,2022-04-24,"RE/MAX Preferred, REALTORS",0
80480022,https://www.zillow.com/homedetails/198-Dearborn-Ave-N-Keizer-OR-97303/80480022_zpid/,"198 Dearborn Ave N, Keizer, OR 97303",Dearborn Ave N,Keizer,OR,97303,44.99323,-123.027534,349900.0,3.0,2.0,190.05975013579575,1841.0,0.25,acres,10890.0,Single_Family,FOR_SALE,2022-04-24,RE/MAX INTEGRITY - SALEM BRANCH,0
25769172,https://www.zillow.com/homedetails/33852-Del-Obispo-St-UNIT-49-Dana-Point-CA-92629/25769172_zpid/,"33852 Del Obispo St UNIT 49, Dana Point, CA 92629",Del Obispo St UNIT 49,Dana Point,CA,92629,33.471478,-117.68267,545000.0,1.0,1.0,838.4615384615385,650.0,11356.091999999999,sqft,11356.091999999999,Condo,PENDING,2022-04-24,Berkshire Hathaway HomeServices,0
2089254926,https://www.zillow.com/homedetails/925-W-Margate-Ter-G-Chicago-IL-60640/2089254926_zpid/,"925 W Margate Ter #G, Chicago, IL 60640",W Margate Ter #G,Chicago,IL,60640,41.97282,-87.657652,440900.0,3.0,2.0,314.92857142857144,1400.0,6111.2,sqft,6111.2,Condo,FOR_SALE,2022-04-24,Coldwell Banker Realty,0
96559660,https://www.zillow.com/homedetails/10856-Bourbon-St-Willis-TX-77318/96559660_zpid/,"10856 Bourbon St, Willis, TX 77318",Bourbon St,Willis,TX,77318,30.394667,-95.55449,129700.0,0.0,0.0,7.381017093912033,0.0,0.4034,acres,17572.104,Lot,PENDING,2022-04-24,RE/MAX Signature,0
2067453526,https://www.zillow.com/homedetails/La-Vista-Grande-Sandia-Park-NM-87047/2067453526_zpid/,"La Vista Grande, Sandia Park, NM 87047",La Vista Grande,Sandia Park,NM,87047,35.22556,-106.360535,197000.0,0.0,0.0,0.18672575162328184,0.0,24.22,acres,1055023.2,Lot,FOR_SALE,2022-04-24,Berkshire Hathaway NM Prop,0
2079373999,https://www.zillow.com/community/reserves-at-inspirada/2079373999_zpid/,"Plan 1589 Modeled Plan, Reserves at Inspirada","Plan 1589 Modeled Plan, Reserves at Inspirada",Henderson,NV,89044,35.936405,-115.14009,491990.0,3.0,2.0,309.6224040276904,1589.0,6970.0,sqft,6970.0,Single_Family,FOR_SALE,2022-04-24,Unknown,0
2066050389,https://www.zillow.com/community/avalon/2066050389_zpid/,"2500-2S Series Plan, Avalon","2S Series Plan, Avalon",Pea Ridge,AR,72751,36.44934,-94.141,450000.0,3.0,2.0,174.55391776570985,2578.0,20037.600000000002,sqft,20037.600000000002,Single_Family,FOR_SALE,2022-04-24,Unknown,0
2065798440,https://www.zillow.com/homedetails/3569-E-Interstellar-Ct-Boise-ID-83712/2065798440_zpid/,"3569 E Interstellar Ct, Boise, ID 83712",E Interstellar Ct,Boise,ID,83712,43.584072,-116.13851,745000.0,0.0,0.0,61.08159517250426,0.0,0.28,acres,12196.800000000001,Lot,FOR_SALE,2022-04-24,O2 Real Estate Group,0
84549836,https://www.zillow.com/homedetails/445-E-Jennie-Ave-UNIT-47-Hermiston-OR-97838/84549836_zpid/,"445 E Jennie Ave UNIT 47, Hermiston, OR 97838",E Jennie Ave UNIT 47,Hermiston,OR,97838,45.846825,-119.28363,129900.0,2.0,2.0,120.94972067039106,1074.0,2.0,acres,87120.0,Manufactured,FOR_SALE,2022-04-24,Unknown,0
2066628302,https://www.zillow.com/homedetails/871-Country-Club-Rd-5A-El-Paso-TX-79932/2066628302_zpid/,"871 Country Club Rd #5A, El Paso, TX 79932",Country Club Rd #5A,El Paso,TX,79932,31.846025,-106.60471,486888.0,4.0,5.0,184.98784194528875,2632.0,8463.82,sqft,8463.82,Multi_Family,FOR_SALE,2022-04-24,ERA Sellers & Buyers Real Esta,0
2064733629,https://www.zillow.com/homedetails/5731-Pin-Poin-San-Antonio-TX-78266/2064733629_zpid/,"5731 Pin Poin, San Antonio, TX 78266",Pin Poin,San Antonio,TX,78266,29.63593,-98.37938,435000.0,5.0,3.0,164.08902301018483,2651.0,8319.96,sqft,8319.96,Single_Family,PENDING,2022-04-24,"JB Goodwin, REALTORS",0
116379950,https://www.zillow.com/homedetails/240-N-Alder-St-Colville-WA-99114/116379950_zpid/,"240 N Alder St, Colville, WA 99114",N Alder St,Colville,WA,99114,48.545986,-117.89387,335000.0,3.0,2.0,156.6152407667134,2139.0,9148.0,sqft,9148.0,Single_Family,PENDING,2022-04-24,"C-21 Kelly Davis, Inc.",0
2069332666,https://www.zillow.com/community/dove-chase/2069332666_zpid/,"Primrose FE V Plan, Dove Chase","Primrose FE V Plan, Dove Chase",Mansfield,TX,76063,32.541634,-97.115555,646990.0,5.0,4.0,173.31636753281543,3733.0,8450.64,sqft,8450.64,Single_Family,FOR_SALE,2022-04-24,Unknown,0
2069304060,https://www.zillow.com/homedetails/3490-Sweigert-Rd-San-Jose-CA-95132/2069304060_zpid/,"3490 Sweigert Rd, San Jose, CA 95132",Sweigert Rd,San Jose,CA,95132,37.411255,-121.84633,6800000.0,0.0,0.0,5.240672085367465,0.0,29.7875,acres,1297543.5,Lot,FOR_SALE,2022-04-24,Unknown,0
2083101468,https://www.zillow.com/community/cresthaven-acres/2083101468_zpid/,"Timber Plan, Cresthaven Acres","Timber Plan, Cresthaven Acres",Palisade,CO,81526,39.103832,-108.36497,594000.0,4.0,3.0,250.0,2376.0,8501.0,sqft,8501.0,Single_Family,FOR_SALE,2022-04-24,Unknown,0
95090666,https://www.zillow.com/homedetails/15809-E-Palisades-Blvd-Fountain-Hills-AZ-85268/95090666_zpid/,"15809 E Palisades Blvd, Fountain Hills, AZ 85268",E Palisades Blvd,Fountain Hills,AZ,85268,33.61145,-111.73929,1021500.0,4.0,3.0,300.0,3405.0,0.286,acres,12458.16,Single_Family,FOR_SALE,2022-04-24,Arizona Elite Properties,0
25363441,https://www.zillow.com/homedetails/1415-La-Serena-Dr-Brea-CA-92821/25363441_zpid/,"1415 La Serena Dr, Brea, CA 92821",La Serena Dr,Brea,CA,92821,33.942596,-117.91885,1000000.0,4.0,3.0,446.82752457551385,2238.0,8925.0,sqft,8925.0,Single_Family,PENDING,2022-04-24,Coldwell Banker Diamond,0
119545873,https://www.zillow.com/homedetails/854-W-Pantani-Ct-Midvale-UT-84047/119545873_zpid/,"854 W Pantani Ct, Midvale, UT 84047",W Pantani Ct,Midvale,UT,84047,40.610867,-111.91478,469000.0,3.0,3.0,314.9764942914708,1489.0,871.2,sqft,871.2,Townhouse,FOR_SALE,2022-04-24,Delveland,0
2079548583,https://www.zillow.com/community/warrior-s-legacy/2079548583_zpid/,"St. Thomas Plan, Warrior's Legacy","St. Thomas Plan, Warrior's Legacy",Nolanville,TX,76559,31.070896,-97.62073,398000.0,4.0,3.0,184.3446039833256,2159.0,8450.64,sqft,8450.64,Single_Family,FOR_SALE,2022-04-24,Unknown,0
79651497,https://www.zillow.com/homedetails/10964-W-Wagon-Pass-St-Boise-ID-83709/79651497_zpid/,"10964 W Wagon Pass St, Boise, ID 83709",W Wagon Pass St,Boise,ID,83709,43.58367,-116.31886,675000.0,4.0,3.0,254.14156626506025,2656.0,10497.96,sqft,10497.96,Single_Family,PENDING,2022-04-24,Windermere Real Estate Professionals,0
79962165,https://www.zillow.com/homedetails/7525-Innisbrook-Ln-Fort-Worth-TX-76179/79962165_zpid/,"7525 Innisbrook Ln, Fort Worth, TX 76179",Innisbrook Ln,Fort Worth,TX,76179,32.872883,-97.41504,375000.0,4.0,2.0,194.1998964267219,1931.0,7187.4,sqft,7187.4,Single_Family,PENDING,2022-04-24,Unknown,0
2076699192,https://www.zillow.com/community/verandah/2076699192_zpid/,"Kisko Plan, Verandah","Kisko Plan, Verandah",Royse City,TX,75189,32.98452,-96.289024,337990.0,4.0,3.0,143.3375742154368,2358.0,8450.64,sqft,8450.64,Single_Family,FOR_SALE,2022-04-24,Unknown,0
70680897,https://www.zillow.com/homedetails/10202-Windy-Trl-Bentonville-AR-72712/70680897_zpid/,"10202 Windy Trl, Bentonville, AR 72712",Windy Trl,Bentonville,AR,72712,36.404377,-94.25377,839750.0,5.0,5.0,191.76752683261017,4379.0,3.0,acres,130680.0,Single_Family,FOR_SALE,2022-04-24,Coldwell Banker Harris McHaney & Faucette-Rogers,0
16181408,https://www.zillow.com/homedetails/4620-Oren-Ave-Corning-CA-96021/16181408_zpid/,"4620 Oren Ave, Corning, CA 96021",Oren Ave,Corning,CA,96021,39.931133,-122.15887,299000.0,3.0,2.0,116.16161616161617,2574.0,2.52,acres,109771.2,Manufactured,FOR_SALE,2022-04-24,Re/Max American Dream Realty,0
122477630,https://www.zillow.com/homedetails/2664-Windmill-Forest-Dr-Imperial-MO-63052/122477630_zpid/,"2664 Windmill Forest Dr, Imperial, MO 63052",Windmill Forest Dr,Imperial,MO,63052,38.382267,-90.41085,339900.0,3.0,3.0,224.06064601186551,1517.0,0.32,acres,13939.2,Single_Family,PENDING,2022-04-24,Realty Executives Five Star,0
15257342,https://www.zillow.com/homedetails/4674-E-Cooper-Rd-Acampo-CA-95220/15257342_zpid/,"4674 E Cooper Rd, Acampo, CA 95220",E Cooper Rd,Acampo,CA,95220,38.175922,-121.259544,458888.0,3.0,1.0,347.9059893858984,1319.0,5663.0,sqft,5663.0,Single_Family,PENDING,2022-04-24,Unknown,0
2067757566,https://www.zillow.com/homedetails/2220-Saur-Ln-New-Braunfels-TX-78130/2067757566_zpid/,"2220 Saur Ln, New Braunfels, TX 78130",Saur Ln,New Braunfels,TX,78130,29.692604,-98.04689,558029.0,4.0,4.0,189.16237288135594,2950.0,7405.2,sqft,7405.2,Single_Family,PENDING,2022-04-24,"David Weekley Homes, Inc.",0
25938962,https://www.zillow.com/homedetails/8932-Bridalsmith-Dr-Sacramento-CA-95829/25938962_zpid/,"8932 Bridalsmith Dr, Sacramento, CA 95829",Bridalsmith Dr,Sacramento,CA,95829,38.462807,-121.37002,498000.0,3.0,2.0,347.76536312849163,1432.0,5502.0,sqft,5502.0,Single_Family,PENDING,2022-04-24,Unknown,0
2077230806,https://www.zillow.com/homedetails/0-Lucerne-Vall-Lucerne-Valley-CA-92356/2077230806_zpid/,"0 Lucerne Vall, Lucerne Valley, CA 92356",Lucerne Vall,Lucerne Valley,CA,92356,34.4609,-116.9167,78408.0,0.0,0.0,0.09,0.0,20.0,acres,871200.0,Lot,FOR_SALE,2022-04-24,Lee & Associates,0
2081972436,https://www.zillow.com/homedetails/1209-E-46th-St-4E-Chicago-IL-60653/2081972436_zpid/,"1209 E 46th St #4E, Chicago, IL 60653",E 46th St #4E,Chicago,IL,60653,41.817463000000004,-87.6119995,445000.0,3.0,2.0,356.0,1250.0,6111.2,sqft,6111.2,Condo,FOR_SALE,2022-04-24,@properties | Christie's International Real Estate,0
115606292,https://www.zillow.com/homedetails/122-N-Walnut-St-Clinton-IL-61727/115606292_zpid/,"122 N Walnut St, Clinton, IL 61727",N Walnut St,Clinton,IL,61727,40.153233,-88.96979,90000.0,3.0,1.0,47.97441364605544,1876.0,6716.952,sqft,6716.952,Single_Family,FOR_SALE,2022-04-24,RE/MAX Choice,0
2064347290,https://www.zillow.com/homedetails/2643-N-State-Route-178-UNIT-B-3-Utica-IL-61373/2064347290_zpid/,"2643 N State Route 178 UNIT B-3, Utica, IL 61373",N State Route 178 UNIT B-3,Utica,IL,61373,41.352238,-89.01758,149900.0,2.0,2.0,83.27777777777777,1800.0,1845.5900000000001,sqft,1845.5900000000001,Townhouse,FOR_SALE,2022-04-24,Better Homes & Gardens Real Estate,0
2067576073,https://www.zillow.com/homedetails/Vic-Eagle-Butte-Starset-Dr-Acton-CA-93510/2067576073_zpid/,"Vic Eagle Butte Starset Dr, Acton, CA 93510",Vic Eagle Butte Starset Dr,Acton,CA,93510,34.49095,-118.18052,125000.0,0.0,0.0,0.07145431131305816,0.0,40.16,acres,1749369.5999999999,Lot,FOR_SALE,2022-04-24,Unknown,0
26863183,https://www.zillow.com/homedetails/3515-Britt-St-Dallas-TX-75236/26863183_zpid/,"3515 Britt St, Dallas, TX 75236",Britt St,Dallas,TX,75236,32.70085,-96.91992,89000.0,0.0,0.0,7.539331591663024,0.0,0.271,acres,11804.76,Lot,FOR_SALE,2022-04-24,Unknown,0
66356913,https://www.zillow.com/homedetails/4184-Sarasota-Dr-Baton-Rouge-LA-70814/66356913_zpid/,"4184 Sarasota Dr, Baton Rouge, LA 70814",Sarasota Dr,Baton Rouge,LA,70814,30.489676,-91.05335,195000.0,3.0,2.0,131.66779203241055,1481.0,8712.0,sqft,8712.0,Single_Family,PENDING,2022-04-24,Tiger Town Realty LLC -- Baton Rouge,0
82502382,https://www.zillow.com/homedetails/2575-Kuhio-Ave-APT-904-Honolulu-HI-96815/82502382_zpid/,"2575 Kuhio Ave APT 904, Honolulu, HI 96815",Kuhio Ave APT 904,Honolulu,HI,96815,21.27234,-157.8207,390000.0,2.0,2.0,439.18918918918916,888.0,0.4021,acres,17515.476,Condo,FOR_SALE,2022-04-24,Corcoran Pacific Properties,0
2065657997,https://www.zillow.com/homedetails/99-Evans-St-Windsor-CO-80550/2065657997_zpid/,"99 Evans St, Severance, CO 80550",Evans St,Windsor,CO,80550,40.5214,-104.86686,470000.0,4.0,3.0,182.5951825951826,2574.0,10454.4,sqft,10454.4,Single_Family,PENDING,2022-04-24,Porchlight RE Group-Boulder,0
177366618,https://www.zillow.com/homedetails/6217-Hanley-Dr-Corpus-Christi-TX-78412/177366618_zpid/,"6217 Hanley Dr, Corpus Christi, TX 78412",Hanley Dr,Corpus Christi,TX,78412,27.70097,-97.36,225000.0,4.0,2.0,129.08777969018934,1743.0,6098.4,sqft,6098.4,Single_Family,PENDING,2022-04-24,K & M Premier Real Estate,0
2067341511,https://www.zillow.com/homedetails/347-Dailey-Ave-UNIT-D3-Anchorage-AK-99515/2067341511_zpid/,"347 Dailey Ave UNIT D3, Anchorage, AK 99515",Dailey Ave UNIT D3,Anchorage,AK,99515,61.11097,-149.87523,210000.0,3.0,2.0,186.17021276595744,1128.0,2953.0,sqft,2953.0,Condo,PENDING,2022-04-24,Realty ONE Group Aurora,0
161438920,https://www.zillow.com/homedetails/20427-Newcastle-Ridge-Ln-Katy-TX-77449/161438920_zpid/,"20427 Newcastle Ridge Ln, Katy, TX 77449",Newcastle Ridge Ln,Katy,TX,77449,29.854385,-95.730644,345000.0,4.0,3.0,149.73958333333334,2304.0,6716.952,sqft,6716.952,Single_Family,PENDING,2022-04-24,Coldwell Banker Realty,0
129523806,https://www.zillow.com/homedetails/707-37th-St-SE-TRAILER-44-Auburn-WA-98002/129523806_zpid/,"707 37th Street SE UNIT 44, Auburn, WA 98002",37th Street SE UNIT 44,Auburn,WA,98002,47.27742,-122.2194,89900.0,2.0,1.0,128.42857142857142,700.0,29185.2,sqft,29185.2,Manufactured,PENDING,2022-04-24,Unknown,0
2086430329,https://www.zillow.com/community/arrowbrooke/2086430329_zpid/,"Magnolia II Plan, ArrowBrooke","Magnolia II Plan, ArrowBrooke",Aubrey,TX,76227,33.241604,-96.89627,636990.0,5.0,3.0,185.71137026239066,3430.0,8450.64,sqft,8450.64,Single_Family,FOR_SALE,2022-04-24,Unknown,0
20633540,https://www.zillow.com/homedetails/501-S-Lorena-St-Los-Angeles-CA-90063/20633540_zpid/,"501 S Lorena St, Los Angeles, CA 90063",S Lorena St,Los Angeles,CA,90063,34.032467,-118.19838,990000.0,6.0,4.0,483.3984375,2048.0,4250.0,sqft,4250.0,Multi_Family,FOR_SALE,2022-04-24,Renuvo Capital,0
52933899,https://www.zillow.com/homedetails/1051-McPherson-Valley-Rd-Mabelvale-AR-72103/52933899_zpid/,"1051 McPherson Valley Rd, Mabelvale, AR 72103",McPherson Valley Rd,Mabelvale,AR,72103,34.5628,-92.39218,60000.0,3.0,2.0,37.59398496240601,1596.0,1.0,acres,43560.0,Manufactured,FOR_SALE,2022-04-24,Century 21 United,0
21963372,https://www.zillow.com/homedetails/6001-Denver-Oklahoma-City-OK-73084/21963372_zpid/,"6001 Denver, Oklahoma City, OK 73084",Denver,Oklahoma City,OK,73084,35.532177,-97.33954,17500.0,0.0,0.0,0.8139074552806688,0.0,0.4936,acres,21501.216,Lot,FOR_SALE,2022-04-24,RE/MAX COBBLESTONE,0
2078372446,https://www.zillow.com/homedetails/12-High-Trails-Dr-Eureka-MO-63025/2078372446_zpid/,"12 High Trails Dr, Eureka, MO 63025",High Trails Dr,Eureka,MO,63025,38.476883,-90.63953,54000.0,0.0,0.0,1.0970525853872597,0.0,1.13,acres,49222.799999999996,Lot,FOR_SALE,2022-04-24,Realty Executives Premiere,0
2077016223,https://www.zillow.com/homedetails/4-Township-Road-4-Fm-2158-Midway-TX-75852/2077016223_zpid/,"4 Township Road 4 Fm #2158, Midway, TX 75852",Township Road 4 Fm #2158,Midway,TX,75852,31.027483500000002,-95.748793,159500.0,3.0,0.0,75.6641366223909,2108.0,10.47,acres,456073.2,Single_Family,PENDING,2022-04-24,DBL Real Estate,0
